PRO_COM;SEZ;SEZ2011;count;fid;max;min;value
15146;4968;151460004968;787;3227;39.7851371765137;0;4.13935714392074
15146;4691;151460004691;374;3228;17.35080909729;0;1.34814298089175
15146;4718;151460004718;2300;3229;64.8994750976562;0;7.45265200407609
15146;4953;151460004953;3010;3230;63.6358909606934;0;6.86277447570598
15146;4962;151460004962;1644;3231;35.4862518310547;0;1.96215924265321
15146;4551;151460004551;379;3232;60.6753196716309;0;12.7420354757586
15146;4552;151460004552;519;3233;58.8873443603516;0;15.9399461103083
15146;4557;151460004557;783;3234;52.1986351013184;0;7.96767740261814
15146;4558;151460004558;1253;3235;68.8779602050781;0;10.7730563834298
15146;4560;151460004560;1301;3236;37.9907760620117;0;4.75500891741929
15146;4566;151460004566;803;3237;30.969123840332;0;2.68986174891034
15146;4971;151460004971;1162;3238;58.9626922607422;0;10.7278693456863
15146;4688;151460004688;1208;3239;26.6436386108398;0;2.67439441807223
15146;4689;151460004689;2442;3240;30.2598285675049;0;1.95704604640152
15146;4695;151460004695;1193;3241;45.375171661377;0;0.803375627848648
15146;4700;151460004700;628;3242;16.0804004669189;0;1.55988656791152
15146;4706;151460004706;989;3243;28.5397644042969;0;2.93015948875126
15146;4711;151460004711;1037;3244;9.90215492248535;0;1.04998726325187
15146;4712;151460004712;1336;3245;12.7058238983154;0;1.34544244640602
15146;4951;151460004951;1336;3246;40.7517166137695;0;3.49553200727451
15146;4957;151460004957;1587;3247;54.2542152404785;0;6.02499803087587
15146;4958;151460004958;1068;3248;43.9497299194336;0;5.4094014257081
15146;4960;151460004960;3318;3249;43.3259239196777;0;4.22019836168249
15146;4549;151460004549;1379;3250;71.4347534179688;0;12.0922061956128
15146;4553;151460004553;727;3251;68.3770217895508;0;12.2215601358322
15146;4563;151460004563;1955;3252;69.110466003418;0;2.44575507512788
15146;4966;151460004966;798;3253;21.3000507354736;0;1.63063359081297
15146;4967;151460004967;724;3254;7.81346368789673;0;0.667176768266035
15146;4697;151460004697;449;3255;53.1061744689941;0;12.208998512319
15146;4701;151460004701;911;3256;21.9492340087891;0;3.12711794002127
15146;4709;151460004709;1538;3257;31.0947189331055;0;2.63574599723667
15146;4717;151460004717;1086;3258;33.390323638916;0;2.75129803680364
15146;4720;151460004720;2118;3259;21.1944179534912;0;0.997064433759738
15146;4956;151460004956;2229;3260;87.6605606079102;0;10.3030945070659
15146;4550;151460004550;606;3261;27.8598098754883;0;4.59832260081477
15146;4555;151460004555;3251;3262;8.48382186889648;0;0.640076415790334
15146;4561;151460004561;1913;3263;23.7062644958496;0;0.89023013795413
15146;4564;151460004564;996;3264;69.110466003418;0;2.81544145331325
