Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;4422420;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;1941423;
2010;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;4920857;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;3835664;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;25704185;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;24916748;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;1696589;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;345491;
2010;Inversión total en protección ambiental de las empresas industriales;Otros;;;50620933;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;16007628;
2010;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;6363843;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;31251;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;704298;
2010;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;16007628;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;2979434;
2010;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;735549;
2010;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;499159;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;277787;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;221372;
2010;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;12917271;
2010;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;7282385;
2010;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;100218980;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;12571780;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;1319920;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;2096818;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;13720607;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;295752;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;17997497;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;431702;
2011;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;17997497;
2011;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;777239;
2011;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;833737;
2011;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;7207066;
2011;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;98436869;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;6911314;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;22801048;
2011;Inversión total en protección ambiental de las empresas industriales;Otros;;;36521655;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;345537;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;539074;
2011;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;3784603;
2011;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;3538692;
2011;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2382821;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;294663;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;1276659;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;1062901;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;2507944;
2011;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;1441874;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;22070611;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;1718060;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;803425;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;1087581;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;780978;
2012;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2514053;
2012;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;4492858;
2012;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1805115;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1342086;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;410070;
2012;Inversión total en protección ambiental de las empresas industriales;Otros;;;30891302;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;1865575;
2012;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;92295024;
2012;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;2355189;
2012;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;2123064;
2012;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;616853;
2012;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;16984170;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;206783;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;16984170;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;489614;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;8820691;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;2774798;
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;1710628;
