cod_estacion,nombre,tipo,latitud,longitud,activa,fecha,indice,debido_a
41091015,SANTA CLARA,FONDO,37.39831,-5.95165,true,2025-09-30T07:00:00,2,NO2
41091016,PRINCIPES,FONDO,37.37525,-6.00558,false,2025-09-30T07:00:00,0,
41091017,SAN JERÓNIMO,INDUSTRIAL,37.42986,-5.98039,true,2025-09-30T07:00:00,1,NO2
41091018,BERMEJALES,FONDO,37.34719,-5.97963,true,2025-09-30T07:00:00,2,NO2
41091019,CENTRO,FONDO,37.38808,-5.99149,true,2025-09-30T07:00:00,10,NO2
42124001,MURIEL DE LA FUENTE,FONDO,41.72361,-2.85694,false,2025-09-30T07:00:00,,
42173001,SORIA,TRAFICO,41.7667,-2.4667,true,2025-09-30T07:00:00,2,O3
43004005,ALCANAR (LLAR DE JUBILATS),INDUSTRIAL,40.55282,0.52998,true,2025-09-30T07:00:00,1,NO2
43005002,ALCOVER (MESTRAL),INDUSTRIAL,41.27838,1.17992,true,2025-09-30T07:00:00,2,O3
43013002,L'AMETLLA DE MAR (DEIXALLERIA),FONDO,40.90269,0.8098,true,2025-09-30T07:00:00,1,NO2
43014001,AMPOSTA (SANT DOMÈNEC - ITÀLIA),FONDO,40.7067,0.5817,false,2025-09-30T07:00:00,,
43044003,LA SÉNIA (REPETIDOR),FONDO,40.643,0.28845,true,2025-09-30T07:00:00,2,O3
43047001,CONSTANTÍ (GAUDÍ),INDUSTRIAL,41.15492,1.21772,true,2025-09-30T07:00:00,1,NO2
43064001,GANDESA (CREU ROJA),FONDO,41.0582,0.43971,true,2025-09-30T07:00:00,2,PM2.5
43070001,ELS GUIAMETS (CAMP DE FUTBOL),FONDO,41.10069,0.7551,true,2025-09-30T07:00:00,1,O3
43103001,PERAFORT (PUIGDELFÍ),INDUSTRIAL,41.19359,1.2367,true,2025-09-30T07:00:00,1,PM10
43123005,REUS (EL TALLAPEDRA),TRAFICO,41.15078,1.12017,true,2025-09-30T07:00:00,2,PM10
43148001,TARRAGONA (SANT SALVADOR),TRAFICO,41.15945,1.2397,true,2025-09-30T07:00:00,1,NO2
43148003,TARRAGONA (BONAVISTA),INDUSTRIAL,41.11588,1.19198,true,2025-09-30T07:00:00,2,PM10
43148022,TARRAGONA (UNIVERSITAT LABORAL),INDUSTRIAL,41.10368,1.20077,true,2025-09-30T07:00:00,2,NO2
43148028,TARRAGONA (PARC DE LA CIUTAT),FONDO,41.11739,1.24165,true,2025-09-30T07:00:00,2,NO2
43162001,VANDELLÒS I L'HOSPITALET DE L'INFANT (ELS DEDALTS),FONDO,41.00821,0.83108,true,2025-09-30T07:00:00,1,NO2
43162002,VANDELLÒS I L'HOSPITALET DE L'INFANT (VIVER),INDUSTRIAL,41.00951,0.91288,true,2025-09-30T07:00:00,10,NO2
43162005,VANDELLÒS I L'HOSPITALET DE L'INFANT (BARRANC DEL TERME),INDUSTRIAL,40.93955,0.83134,true,2025-09-30T07:00:00,1,NO2
43171001,VILA-SECA (RENFE),FONDO,41.112090852,1.151824406,false,2025-09-30T07:00:00,,
43171002,VILA-SECA (IES VILA-SECA),FONDO,41.10243,1.14955,true,2025-09-30T07:00:00,2,NO2
44051002,MONAGREGA,FONDO,40.94667,-0.29083,false,2025-09-30T07:00:00,10,O3
44067001,CASTELNOU,INDUSTRIAL,41.22528,-0.36472,false,2025-09-30T07:00:00,0,
44077001,LA CEROLLERA,INDUSTRIAL,40.84194,-0.0575,false,2025-09-30T07:00:00,,
44216001,TERUEL,FONDO,40.33639,-1.10667,true,2025-09-30T07:00:00,10,O3
45081004,ESTACIÓN DE LA SAGRA (ILLESCAS),FONDO,40.1192,-3.8328,true,2025-09-30T07:00:00,20,O3
