_id,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
94,72502,SANT CUGAT DEL VALLES,41.4811671,2.0793256,"CALLE RONDA DEL NORD, S/N",8190,Sant Cugat del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72502.pdf,""
95,72301,SANT FELIU DE LLOBREGAT,41.383674,2.0470732,"CALLE ESTACIO, S/N",8980,Sant Feliu de Llobregat,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72301.pdf,""
96,72302,SANT JOAN DESPI,41.3693,2.059313,"CALLE ESTACIO FERROCARRIL, S/N",8970,Sant Joan Despí,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72302.pdf,""
97,77104,SANT MARTI DE CENTELLES,41.76036,2.2491296,"CALLE ESTACIO DE FERROCARRIL, S/N",8592,Sant Martí de Centelles,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77104.pdf,""
98,78610,SANT MIQUEL DE GONTERES,41.5694331,1.9734433,"CALLE PASEO DE LOS EUCALIPTUS, S/N",8232,Viladecavalls,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78610.pdf,""
99,79602,SANT POL DE MAR,41.6016378,2.6240904,"PLAÇA DE L'ESTACIO, S/N",8395,Sant Pol de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79602.pdf,""
100,77113,SANT QUIRZE DE BESORA-MONTESQUIU,42.104825,2.217712,"CALLE ESTACIO FERROCARRIL, 2",8580,Sant Quirze de Besora,Barcelona,"",""
101,72207,SANT SADURNI D'ANOIA,41.4203322,1.7938898,"JOAN SALA TUBELLA ESTACIO, S/N",8770,Sant Sadurní d'Anoia,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72207.pdf,""
102,71600,SANT VICENÇ DE CALDERS,41.1861054,1.5245117,"CALLE ESTACIO FERROCARRIL, S/N",43880,"Vendrell, El",Tarragona,https://data.renfe.com/files/estaciones/FichaEstacion71600.pdf,""
103,78604,SANT VICENÇ DE CASTELLET,41.6688715,1.8617008,"PASEO DE PAU CASALLS, S/N",8295,Sant Vicenç de Castellet,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78604.pdf,""
104,77003,SANTA PERPETUA DE MOGODA,41.5219473,2.1950199,"CALLE ESTACION FERROCARRIL, 3",8130,Santa Perpètua de Mogoda,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77003.pdf,""
105,79608,SANTA SUSANNA,41.630364,2.716376,"PASSEIG MARITIM, S/N",8398,Santa Susanna,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79608.pdf,""
106,71602,SEGUR DE CALAFELL,41.1925946,1.6061204,"CALLE BAIXADOR, S/N",43882,Calafell,Tarragona,https://data.renfe.com/files/estaciones/FichaEstacion71602.pdf,""
107,71701,SITGES,41.2390256,1.8100849,"PLAZA EDUARD MARISTANY, S/N",8870,Sitges,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71701.pdf,""
108,78700,TERRASSA,41.5702554,2.0144564,"PLAÇA DE L'ESTACIO DEL NORTE, S/N",8221,Terrassa,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78700.pdf,""
109,78710,TERRASSA EST,41.5661808,2.0386845,"CARRER D'?LABA, S/N",8227,Terrassa,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78710.pdf,""
110,79607,TORDERA,41.7072202,2.719419,"AVENIDA DE SAN PEDRO, 91",8490,Tordera,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79607.pdf,""
111,77111,TORELLO,42.0519852,2.2599796,"PLAÇA DE L'ESTACIO, S/N",8570,Torelló,Barcelona,"",""
112,78801,TORRE DEL BARO,41.4603746,2.181518,"CALLE VALCIVERA, S/N",8033,Barcelona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78801.pdf,""
113,77305,TOSES,42.3207829,2.0151426,"CARRETERA GIV-4016 - ESTACION FERROCARRIL, 8",17536,Toses,Girona,"",""
114,77307,URTX-ALP,42.3768775,1.8968278,"CARRETERA GIV-4082 - ESTACION FERROCARRIL, S/N",17538,Alp,Girona,"",""
115,78606,VACARISSES,41.6025004,1.8930548,"CALLE PETUNIA, 29",8294,Vacarisses,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78606.pdf,""
116,78607,VACARISSES-TORREBLANCA,41.586984,1.917034,"PASEO DE LA ESTACION DE TORREBLANCA, S/N",8233,Vacarisses,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78607.pdf,""
117,77109,VIC,41.9310634,2.2489051,"PLAZA DEL CENTENARI, 4",8500,Vic,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77109.pdf,""
118,71709,VILADECANS,41.3095952,2.0274562,"FINAL CARRER FERROCARRIL, S/N",8840,Viladecans,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71709.pdf,""
119,78609,VILADECAVALLS,41.5650666,1.9534516,"CAMINO DE LA ESTACION, S/N",8232,Viladecavalls,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78609.pdf,""
120,72204,VILAFRANCA DEL PENEDES,41.3422231,1.7067992,"PLAÇA DE L'ESTACIO, 4",8720,Vilafranca del Penedès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72204.pdf,""
121,71700,VILANOVA I LA GELTRU,41.2201668,1.7305269,"PLAZA DE EDUARD MARISTANY, S/N",8800,Vilanova i la Geltrú,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71700.pdf,https://data.renfe.com/files/estaciones/FichaTunel71700.pdf
122,79410,VILASSAR DE MAR,41.5005719,2.3897035,"CALLE SAN JAIME, S/N",8340,Vilassar de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79410.pdf,""
