FID,ID_ESTACIO,CODI_GRUP_ESTACIO,NOM_ESTACIO,PICTO,DATA,GEOMETRY
ESTACIONS.953,953,6660953,Port Comercial | La Factoria,L10S,2025-10-05,POINT (2.1406572348295043 41.335983045353615)
ESTACIONS.954,954,6660954,Zona Franca,L10S,2025-10-05,POINT (2.144964431606467 41.34297610170164)
ESTACIONS.956,956,6660956,Foc,L10S,2025-10-05,POINT (2.1418043174739214 41.35616086809139)
ESTACIONS.957,957,6660957,Foneria,L10S,2025-10-05,POINT (2.1382289088556874 41.3610992396304)
ESTACIONS.958,958,6660958,Ciutat de la Justícia,L10S,2025-10-05,POINT (2.1323149668540133 41.36313727354129)
ESTACIONS.959,959,6660959,Provençana,L10S,2025-10-05,POINT (2.124099793279222 41.36135378238542)
ESTACIONS.1137,1137,6661137,Casa de l'Aigua,L11,2025-10-05,POINT (2.1848396459573656 41.451277844017426)
ESTACIONS.1138,1138,6661138,Torre Baró | Vallbona,L11,2025-10-05,POINT (2.1798835778205032 41.45919574810995)
ESTACIONS.1139,1139,6661139,Ciutat Meridiana,L11,2025-10-05,POINT (2.174649879224937 41.46080820561607)
ESTACIONS.1140,1140,6661140,Can Cuiàs,L11,2025-10-05,POINT (2.173059363097836 41.46241309910048)
ESTACIONS.9902,9902,6669902,Parc de Montjuïc,FM,2025-10-05,POINT (2.163268768163695 41.36895607486559)
